date,all_oi_usd,btc_oi_usd,eth_oi_usd,others_oi_usd,btc_pct,eth_pct,others_pct,market_count
2021-12-01,5585226479.124478,3010256288.652,1316375198.3965,1258594992.0759783,53.89676318,23.5688777,22.53435911,65
2021-12-02,5728942610.403089,3056184798.8500004,1374369777.625,1298388033.9280882,53.34640276,23.98993795,22.66365929,67
2021-12-03,5720291377.825638,3041423192.3765,1388348101.645,1290520083.8041377,53.16902569,24.27058361,22.5603907,67
2021-12-04,5297774495.055276,2790946510.2965,1299696539.9375,1207131444.8212757,52.68148942,24.53287774,22.78563283,71
2021-12-05,3227452612.10256,1516115285.1504998,946835646.1945,764501680.7575603,46.97560173,29.33693411,23.68746416,71
2021-12-06,3027015051.7404795,1437585286.606,880397378.962,709032386.1724795,47.49184467,29.08467133,23.423484,71
2021-12-07,3092380996.6034293,1462464912.106,886643150.5929999,743272933.9044294,47.29252035,28.67186002,24.03561963,73
2021-12-08,3177733825.5629277,1515932904.7435,922027667.3499999,739773253.4694278,47.70484213,29.01525798,23.27989989,73
2021-12-09,3305233315.990759,1514391089.0795,1004098892.8180001,786743334.0932589,45.81797847,30.37906244,23.80295909,73
2021-12-10,3239427075.669746,1531861426.2615,970459533.962,737106115.446246,47.28803552,29.95775214,22.75421234,73
2021-12-11,3102190665.685126,1482188835.7259998,897523581.209,722478248.750126,47.77877943,28.93192837,23.2892922,75
2021-12-12,3244224126.695891,1531295930.521,917051155.59,795877040.584891,47.20068253,28.26719486,24.53212261,75
2021-12-13,3355818511.3769493,1598948367.699,937523619.6500001,819346524.0279493,47.64704534,27.93725633,24.41569832,75
2021-12-14,3140581304.1849594,1498139382.25,912536984.304,729904937.6309594,47.70261417,29.05630824,23.24107759,78
2021-12-15,3174069855.79911,1490465969.792,931238869.6819999,752365016.32511,46.9575667,29.3389532,23.70348009,78
2021-12-16,3175602473.5572863,1492616458.9325,890008944.5499598,792977070.0748266,47.00262301,28.02645961,24.97091738,78
2021-12-17,3337543837.2349186,1626800739.573,939433513.987,771309583.6749187,48.7424531,28.14745093,23.11009597,78
2021-12-18,3187357352.0921383,1546389654.6,888121793.76,752845903.7321384,48.51635646,27.86389148,23.61975206,79
2021-12-19,3294165855.4115386,1585350374.3200002,909061426.317,799754054.7745384,48.12600348,27.59610372,24.27789279,79
2021-12-20,3286660807.637858,1585061605.9275,908475515.44,793123686.2703578,48.22711252,27.64129214,24.13159534,79
2021-12-21,3362117909.324448,1627656689.414,930034927.28,804426292.6304481,48.41164805,27.66217463,23.92617732,80
2021-12-22,3638847789.0753984,1804477038.8735,1002015832.7544999,832354917.4473984,49.58924208,27.53662398,22.87413395,80
2021-12-23,3616863027.063716,1783362482.3485,970649340.9300001,862851203.7852159,49.3068847,26.83677357,23.85634173,80
2021-12-24,3808337707.2660785,1835188054.632,1020840801.036,952308851.5980785,48.18869007,26.80541694,25.00589299,80
2021-12-25,3732061233.3031445,1818614196.8400002,996119061.3025,917327975.1606443,48.72948441,26.69085524,24.57966035,80
2021-12-26,3859896632.6053915,1832946154.842,1048411308.7420001,978539169.0213914,47.48692334,27.1616421,25.35143456,80
2021-12-27,3889102395.527877,1846742858.695,1033408754.28,1008950782.552877,47.4850665,26.57190912,25.94302438,80
2021-12-28,3944358256.5626326,1891470061.6685,1038499676.5265,1014388518.3676326,47.95380994,26.32873611,25.71745395,80
2021-12-29,3624074278.4932427,1754712087.2365246,973218457.746,896143733.5107181,48.41821531,26.85426354,24.72752114,80
2021-12-30,3465918104.08293,1662815974.1,935483384.82,867618745.1629301,47.97620498,26.99092583,25.03286919,82
2021-12-31,3548896687.8459272,1730085856.3835,932084125.8295,886726705.6329272,48.74996396,26.26405353,24.98598251,82
2022-01-01,3490755468.768994,1695080467.9759998,917132481.983,878542518.809994,48.55912948,26.27318041,25.16769011,82
2022-01-02,3547905062.9128857,1680029953.043,933798461.4660001,934076648.4038856,47.35273135,26.31971388,26.32755476,82
2022-01-03,3553480887.9344654,1673051877.12,936727251.278,943701759.5364655,47.08205644,26.3608355,26.55710807,82
2022-01-04,3692404579.984241,1800612539.5939999,934156572.211,957635468.1792412,48.76530999,25.29940996,25.93528004,82
2022-01-05,3603213570.1324806,1747358539.99,932735037.3999622,923119992.7425184,48.49444825,25.88619906,25.61935269,82
2022-01-06,3273380427.610512,1600521952.567,877625121.8319646,795233353.2115473,48.8950792,26.81097236,24.29394844,84
2022-01-07,3294833253.0188665,1641294297.361,840827372.4,812711583.2578665,49.81418395,25.51957285,24.6662432,85
2022-01-08,3084535770.363738,1559521734.039,749970007.9300001,775044028.394738,50.55936615,24.3138697,25.12676416,85
2022-01-09,3046328966.479699,1562085457.356,731284833.4,752958675.7236992,51.2776353,24.00544529,24.71691941,85
